event_id,Mw,epi_dist
AL-2016-0001,4,181.8
AL-2016-0002,4.5,97.4
AM-1988-0004,4.2,16.3
AT-1996-0001,4,19.0
EMSC-19980423_0000011,4,10.3
EMSC-19981122_0000005,4.2,11.8
EMSC-19990202_0000009,4.1,11.9
EMSC-19990314_0000005,4.3,35.0
EMSC-19990406_0000004,4.0,36.8
EMSC-19991104_0000001,4.9,18.5
EMSC-19991212_0000012,4.3,28.1
EMSC-19991219_0000012,4.0,14.8
EMSC-19991226_0000012,4.3,16.9
EMSC-20010718_0000012,4.7,143.8
EMSC-20030226_0000002,4.3,136.8
EMSC-20050622_0000062,4.1,130.3
EMSC-20061117_0000084,5.2,32.7
EMSC-20071115_0000054,4.5,36.3
EMSC-20080215_0000079,4.6,214.1
EMSC-20080503_0000064,3.7,54.2
EMSC-20080716_0000056,4.3,13.6
EMSC-20080722_0000062,4.4,110.8
EMSC-20081024_0000091,4.0,160.3
EMSC-20090209_0000047,4.1,14.4
EMSC-20090310_0000100,3.9,166.1
EMSC-20090420_0000050,4.4,181.6
EMSC-20090501_0000088,3.7,159.8
EMSC-20090728_0000069,4.2,122.0
EMSC-20090908_0000288,4.0,171.8
EMSC-20090915_0000081,4.3,141.8
EMSC-20100123_0000007,4.2,75.8
EMSC-20100915_0000398,4.0,140.6
EMSC-20100921_0000014,4.1,48.6
EMSC-20101109_0000039,3.7,208.4
EMSC-20101214_0000036,4.2,153.0
EMSC-20101219_0000014,4.1,128.1
EMSC-20110208_0000043,4.0,94.8
EMSC-20110214_0000020,3.9,92.6
EMSC-20110401_0000034,4.2,48.6
EMSC-20110403_0000050,4.0,77.6
EMSC-20110415_0000016,4.3,88.8
EMSC-20110522_0000095,4.0,122.3
EMSC-20110530_0000005,4.4,220.5
EMSC-20110801_0000064,3.7,8.2
EMSC-20110803_0000002,4.2,211.5
EMSC-20110930_0000056,3.9,37.7
EMSC-20111005_0000060,4.3,26.1
EMSC-20111023_0000559,4.9,195.3
EMSC-20111112_0000073,4.3,178.8
EMSC-20111129_0000029,4.1,129.3
EMSC-20111222_0000068,3.8,71.6
EMSC-20120105_0000048,4.0,177.7
EMSC-20120126_0000018,4.0,85.2
EMSC-20120224_0000073,4.0,8.7
EMSC-20120311_0000066,4.2,80.3
EMSC-20120320_0000085,4.6,100.1
EMSC-20120326_0000008,4.5,72.6
EMSC-20120416_0000062,4.0,158.7
EMSC-20120417_0000080,4.3,162.5
EMSC-20120507_0000025,4.4,218.4
EMSC-20120517_0000031,4.2,186.0
EMSC-20120526_0000037,4.1,59.6
EMSC-20120610_0000063,4.9,124.6
EMSC-20120628_0000047,4.1,31.5
EMSC-20120704_0000040,4.4,209.5
EMSC-20120812_0000003,4.2,107.6
EMSC-20120903_0000051,4.0,178.5
EMSC-20121008_0000016,4.3,74.6
EMSC-20121129_0000069,4.2,86.8
EMSC-20121212_0000004,4.0,166.6
EMSC-20130131_0000040,4.0,96.8
EMSC-20130204_0000026,4.4,79.7
EMSC-20130319_0000088,4.5,131.9
EMSC-20130328_0000061,4.0,32.4
EMSC-20130420_0000088,4.2,116.9
EMSC-20130509_0000103,4.0,192.6
EMSC-20130617_0000040,3.4,166.5
EMSC-20130617_0000058,3.7,175.4
EMSC-20130621_0000105,4.2,218.6
EMSC-20130629_0000004,4.0,132.4
EMSC-20130629_0000024,4.0,137.7
EMSC-20130921_0000006,4.4,197.5
EMSC-20130927_0000052,4.1,165.9
EMSC-20131013_0000072,4.0,76.8
EMSC-20131121_0000035,4.6,100.5
EMSC-20131122_0000008,4.6,209.1
EMSC-20131206_0000037,4.1,75.2
