event_id,Mag,list_records,count_records
AM-1988-0004,4,"['A.NAB.HNE.AM-1988-0004.csv', 'A.NAB.HNN.AM-1988-0004.csv']",2
EMSC-20061117_0000084,5,"['RA.PYBB.HNE.EMSC-20061117_0000084.csv', 'RA.PYBB.HNN.EMSC-20061117_0000084.csv']",2
EMSC-20080503_0000064,3,"['RA.PYCA.HNE.EMSC-20080503_0000064.csv', 'RA.PYCA.HNN.EMSC-20080503_0000064.csv']",2
EMSC-20080716_0000056,4,"['RA.PYAD.HNE.EMSC-20080716_0000056.csv', 'RA.PYAD.HNN.EMSC-20080716_0000056.csv']",2
EMSC-20120704_0000040,4,"['KO.GONE.HNE.EMSC-20120704_0000040.csv', 'KO.GONE.HNN.EMSC-20120704_0000040.csv']",2
EMSC-20140207_0000030,4,"['YP.AC03.HNE.EMSC-20140207_0000030.csv', 'YP.AC03.HNN.EMSC-20140207_0000030.csv', 'YP.AC05.HNE.EMSC-20140207_0000030.csv', 'YP.AC05.HNN.EMSC-20140207_0000030.csv']",4
EMSC-20161030_0000033,4,"['IT.ACC.HGE.EMSC-20161030_0000033.csv', 'IT.ACC.HGN.EMSC-20161030_0000033.csv', 'IV.T1201.HNE.EMSC-20161030_0000033.csv', 'IV.T1201.HNN.EMSC-20161030_0000033.csv', 'IV.T1218.HNE.EMSC-20161030_0000033.csv', 'IV.T1218.HNN.EMSC-20161030_0000033.csv', 'IV.T1244.HNE.EMSC-20161030_0000033.csv', 'IV.T1244.HNN.EMSC-20161030_0000033.csv']",8
EMSC-20161030_0000037,4,"['IV.T1218.HNE.EMSC-20161030_0000037.csv', 'IV.T1218.HNN.EMSC-20161030_0000037.csv']",2
EMSC-20161114_0000010,4,"['IT.FOC.HGE.EMSC-20161114_0000010.csv', 'IT.FOC.HGN.EMSC-20161114_0000010.csv']",2
EMSC-20161211_0000049,4,"['IT.CNE.HGE.EMSC-20161211_0000049.csv', 'IT.CNE.HGN.EMSC-20161211_0000049.csv', 'IT.PRE.HGE.EMSC-20161211_0000049.csv', 'IT.PRE.HGN.EMSC-20161211_0000049.csv', 'IV.FEMA.HNE.EMSC-20161211_0000049.csv', 'IV.FEMA.HNN.EMSC-20161211_0000049.csv', 'IV.T1216.HNE.EMSC-20161211_0000049.csv', 'IV.T1216.HNN.EMSC-20161211_0000049.csv']",8
GE-1991-0008,3,"['A.SONB.HNE.GE-1991-0008.csv', 'A.SONB.HNN.GE-1991-0008.csv', 'A.SONI.HNE.GE-1991-0008.csv', 'A.SONI.HNN.GE-1991-0008.csv', 'A.SZEB.HNE.GE-1991-0008.csv', 'A.SZEB.HNN.GE-1991-0008.csv']",6
GR-1987-0006,5,"['HI.KYP1.HN2.GR-1987-0006.csv', 'HI.KYP1.HN3.GR-1987-0006.csv']",2
GR-1988-0008,5,"['HI.ARG1.HN2.GR-1988-0008.csv', 'HI.ARG1.HN3.GR-1988-0008.csv']",2
IT-1972-0005,4,"['E.ANP.HNE.IT-1972-0005.csv', 'E.ANP.HNN.IT-1972-0005.csv', 'E.ANR.HNE.IT-1972-0005.csv', 'E.ANR.HNN.IT-1972-0005.csv']",4
IT-1972-0007,4,"['E.ANP.HNE.IT-1972-0007.csv', 'E.ANP.HNN.IT-1972-0007.csv', 'E.ANR.HNE.IT-1972-0007.csv', 'E.ANR.HNN.IT-1972-0007.csv']",4
IT-1972-0009,4,"['E.ANP.HNE.IT-1972-0009.csv', 'E.ANP.HNN.IT-1972-0009.csv', 'E.ANR.HNE.IT-1972-0009.csv', 'E.ANR.HNN.IT-1972-0009.csv']",4
IT-1976-0008,4,"['E.FRC.HNE.IT-1976-0008.csv', 'E.FRC.HNN.IT-1976-0008.csv']",2
IT-1976-0010,4,"['E.FRC.HNE.IT-1976-0010.csv', 'E.FRC.HNN.IT-1976-0010.csv']",2
IT-1976-0014,4,"['IV.GMN.HNE.IT-1976-0014.csv', 'IV.GMN.HNN.IT-1976-0014.csv']",2
IT-1976-0015,4,"['E.FRC.HNE.IT-1976-0015.csv', 'E.FRC.HNN.IT-1976-0015.csv']",2
IT-1976-0016,4,"['E.FRC.HNE.IT-1976-0016.csv', 'E.FRC.HNN.IT-1976-0016.csv', 'E.SRC0.HNE.IT-1976-0016.csv', 'E.SRC0.HNN.IT-1976-0016.csv', 'IT.MAA.HNE.IT-1976-0016.csv', 'IT.MAA.HNN.IT-1976-0016.csv']",6
IT-1976-0023,3,"['IV.GMN.HNE.IT-1976-0023.csv', 'IV.GMN.HNN.IT-1976-0023.csv']",2
IT-1976-0026,4,"['E.BUI.HNE.IT-1976-0026.csv', 'E.BUI.HNN.IT-1976-0026.csv', 'IV.GMN.HNE.IT-1976-0026.csv', 'IV.GMN.HNN.IT-1976-0026.csv']",4
IT-1976-0028,4,"['E.FRC.HNE.IT-1976-0028.csv', 'E.FRC.HNN.IT-1976-0028.csv', 'IV.GMN.HNE.IT-1976-0028.csv', 'IV.GMN.HNN.IT-1976-0028.csv']",4
IT-1976-0029,4,"['IV.GMN.HNE.IT-1976-0029.csv', 'IV.GMN.HNN.IT-1976-0029.csv']",2
IT-1978-0003,4,"['IT.PTT1.HNE.IT-1978-0003.csv', 'IT.PTT1.HNN.IT-1978-0003.csv']",2
IT-1979-0010,4,"['IT.CSR.HNE.IT-1979-0010.csv', 'IT.CSR.HNN.IT-1979-0010.csv']",2
IT-1980-0025,4,"['E.FMC.HNE.IT-1980-0025.csv', 'E.FMC.HNN.IT-1980-0025.csv', 'E.PRN.HNE.IT-1980-0025.csv', 'E.PRN.HNN.IT-1980-0025.csv']",4
IT-1980-0030,4,"['E.FMC.HNE.IT-1980-0030.csv', 'E.FMC.HNN.IT-1980-0030.csv', 'E.OPB.HNE.IT-1980-0030.csv', 'E.OPB.HNN.IT-1980-0030.csv', 'IT.CNB.HNE.IT-1980-0030.csv', 'IT.CNB.HNN.IT-1980-0030.csv', 'IT.CNP.HNE.IT-1980-0030.csv', 'IT.CNP.HNN.IT-1980-0030.csv', 'IT.CR1.HNE.IT-1980-0030.csv', 'IT.CR1.HNN.IT-1980-0030.csv', 'IT.CR2.HNE.IT-1980-0030.csv', 'IT.CR2.HNN.IT-1980-0030.csv', 'IT.CR3.HNE.IT-1980-0030.csv', 'IT.CR3.HNN.IT-1980-0030.csv']",14
IT-1980-0031,4,"['IT.CNP.HNE.IT-1980-0031.csv', 'IT.CNP.HNN.IT-1980-0031.csv', 'IT.CR2.HNE.IT-1980-0031.csv', 'IT.CR2.HNN.IT-1980-0031.csv', 'IT.CR3.HNE.IT-1980-0031.csv', 'IT.CR3.HNN.IT-1980-0031.csv']",6
IT-1984-0010,4,"['E.ATT.HNE.IT-1984-0010.csv', 'E.ATT.HNN.IT-1984-0010.csv']",2
IT-1997-0142,4,"['IT.FORC.HNE.IT-1997-0142.csv', 'IT.FORC.HNN.IT-1997-0142.csv']",2
IT-1997-0205,4,"['IT.SELE.HNE.IT-1997-0205.csv', 'IT.SELE.HNN.IT-1997-0205.csv']",2
EMSC-20161030_0000033,4,"['IT.ACC.HGE.EMSC-20161030_0000033.csv', 'IT.ACC.HGN.EMSC-20161030_0000033.csv', 'IV.T1201.HNE.EMSC-20161030_0000033.csv', 'IV.T1201.HNN.EMSC-20161030_0000033.csv', 'IV.T1218.HNE.EMSC-20161030_0000033.csv', 'IV.T1218.HNN.EMSC-20161030_0000033.csv', 'IV.T1244.HNE.EMSC-20161030_0000033.csv', 'IV.T1244.HNN.EMSC-20161030_0000033.csv']",8
